field_name	field_description
id	系统主键；类型：system-id；Java类型：Long；数据库类型：bigint IDENTITY(1,1)；说明：自增主键，不对外暴露，业务逻辑不使用；处理：忽略
opportunityId	销售机会ID；类型：id；Java类型：Long；数据库类型：bigint；说明：雪花业务ID，所有 API 入参与表间关联均使用此字段；处理：保留原值并原样回传
opportunityCode	机会编号；类型：text；Java类型：String；数据库类型：nvarchar；说明：系统自动生成，格式如 OPP-20240414-001；处理：保留
opportunityName	机会名称；类型：text；Java类型：String；数据库类型：nvarchar；说明：机会名称，必填；处理：保留
customerId	客户业务ID；类型：system-id；Java类型：Long；数据库类型：bigint；说明：关联客户业务ID，来自 t_sales_customer.customerId；处理：忽略
customerName	客户名称；类型：text；Java类型：String；数据库类型：nvarchar；说明：客户名称，冗余存储；处理：保留
ownerId	负责人用户ID；类型：system-id；Java类型：Long；数据库类型：bigint；说明：负责人用户ID；处理：忽略
ownerName	负责人姓名；类型：text；Java类型：String；数据库类型：nvarchar；说明：负责人姓名，冗余存储；处理：保留
deptId	负责人部门ID；类型：system-id；Java类型：Long；数据库类型：bigint；说明：负责人所属部门ID；处理：忽略
deptName	负责人部门名称；类型：text；Java类型：String；数据库类型：nvarchar；说明：部门名称，冗余存储；处理：保留
opportunitySource	机会来源；类型：enum；Java类型：String；数据库类型：nvarchar；枚举：线索转化=由线索转化而来|手动录入=直接新建未关联线索；说明：机会来源；处理：保留
leadId	线索业务ID；类型：system-id；Java类型：Long；数据库类型：bigint；说明：关联线索业务ID，从线索转化时写入；处理：忽略
sourceLeadName	来源线索名称；类型：text；Java类型：String；数据库类型：nvarchar；说明：线索转化时冗余存储的线索名称；处理：保留
sourceLeadOwnerName	来源线索负责人；类型：text；Java类型：String；数据库类型：nvarchar；说明：线索转化时冗余存储的线索负责人；处理：保留
convertUserId	线索转化操作人ID；类型：system-id；Java类型：Long；数据库类型：bigint；说明：手动新建时为 NULL；处理：忽略
convertUserName	线索转化操作人姓名；类型：text；Java类型：String；数据库类型：nvarchar；说明：手动新建时为 NULL；处理：保留
salesScene	销售场景；类型：enum；Java类型：String；数据库类型：nvarchar；枚举：tenderNoDesign=招标未设计|tenderDesigned=招标已设计|noTender=不招标|smallProject=小项目|designInstitute=设计院；说明：销售场景 code，必填；处理：保留；优先级：96
salesStage	销售阶段；类型：enum；Java类型：String；数据库类型：nvarchar；枚举：none=空|preliminary=初步方案认可|decisionChain=决策链覆盖|deepenPlan=深化方案及认可|designControl=设计控标方案并采用|tenderBid=招标与投标|confirmBidder=投标前确认参标单位|designLiaison=设计联络会|purchasePlan=确认采购计划|factoryInspection=厂验|contractExecution=合同谈判与执行；说明：当前销售阶段 code；处理：保留；优先级：98
opportunityStatus	机会状态；类型：enum；Java类型：String；数据库类型：nvarchar；枚举：progressing=进行中|won=赢单|lost=输单；说明：机会状态 code；处理：保留；优先级：97
winRate	赢单概率；类型：percent；Java类型：Integer；数据库类型：int；说明：0-100 整数，单位 %；处理：保留；优先级：92
industry	行业编码；类型：code；Java类型：String；数据库类型：nvarchar；说明：来自系统行业字典；处理：保留
productCategory	产品品类；类型：text；Java类型：String；数据库类型：nvarchar；说明：自由文本；处理：保留
